clip_id,audio_path,composer,work,movement,performer,source,rights,period,genre,ensemble,instrument,family,clip_type,potential_skill_codes,question_count,metadata_confidence
CLIP-2C21446B6F93,audio/piano/E3.mp3 | audio/piano/D3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,14,high
CLIP-2CD6E549BFF9,audio/piano/C4.mp3 | audio/piano/D3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Minor 7th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,14,high
CLIP-2CF444AE7DBC,modules/instrument-identifier/audio/II061.mp3,Elgar,Cello Concerto Op. 85 (4),,,MusOpen,PD,,Concerto,Orchestral,CELLO,Strings,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-2DC361124552,modules/instrument-identifier/audio/II099.mp3,Chopin,Cello Sonata Op.65 (3),,,MusOpen,PD,Romantic,Sonata,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-2E02BA2BFA7C,modules/instrument-identifier/audio/II035.mp3,Schumann,Marchenbilder Op. 113,,,MusOpen,PD,Romantic,,Piano Accomp.,VIOLA,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-2EB8FA03E4FF,modules/texture-trainer/audio/TT093.mp3,,"W. A. Mozart — Symphony No. 40 in G minor, K.550 — II. Andante",,Musopen Symphony Orchestra,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,,Symphony,,,,Melody and accompaniment,TEX.ROLE | TEX.TYPE,1,high
CLIP-2F181EF25D62,modules/instrument-identifier/audio/II096.mp3,Beethoven,Cello Sonata Op. 69 (1),,,MusOpen,PD,Classical/Romantic transition,Sonata,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-2F21E7F7C090,audio/piano/D3.mp3 | audio/piano/F3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Minor 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,12,high
CLIP-2FBCD147C45A,modules/instrument-identifier/audio/II164.mp3,von Weber,Clarinet Concerto Op. 73 (3),,,MusOpen,PD,,Concerto,Organ Accomp.,CLARINET,Woodwind,Organ Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-2FDFE66B6323,audio/piano/As3.mp3 | audio/piano/As3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect unison,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,20,high
CLIP-3085A65022C0,modules/texture-trainer/audio/TT078.mp3,,"J. S. Bach — Partita in A minor for solo flute, BWV 1013 — III. Sarabande",,"Scott Goff, flute",https://commons.wikimedia.org/wiki/File:Bach_-_Partita_For_Solo_Flute_-_Modern_Flute_-_3._Sarabande.ogg,CC BY-SA 2.0 / EFF Open Audio-compatible,,,,,,Monophonic texture,TEX.TYPE,1,medium
CLIP-31028F514A54,modules/instrument-identifier/audio/II043.mp3,,Cello Sonata - 3 Finale,,,MusOpen,PD,,Sonata,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-313874FBC762,modules/texture-trainer/audio/TT111.mp3,,"J. S. Bach — Two-Part Invention No. 8, BWV 779",,Live piano recording,https://commons.wikimedia.org/wiki/File:J.S._Bach's_Invention_8_(BWV_779)_on_piano.ogg,CC0,,,,,,Simple polyphonic,TEX.TYPE,1,medium
CLIP-31903357C654,modules/instrument-identifier/audio/II143.mp3,Haydn,Trumpet Concerto HOB VIIe (3),,,MusOpen,PD,Classical,Concerto,Orchestral,TRUMPET,Brass,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-320B0FD9BE64,audio/piano/A3.mp3 | audio/piano/Ds3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Augmented 4th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,3,high
CLIP-322AD3A66CD0,audio/piano/Ds4.mp3 | audio/piano/G3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Minor 6th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,7,high
CLIP-33403F045684,audio/piano/E4.mp3 | audio/piano/C4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,9,high
CLIP-33A49A248820,audio/piano/C3.mp3 | audio/piano/D3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,15,high
CLIP-344A69365085,modules/texture-trainer/audio/TT130.mp3,,Thomas Tallis — Spem in alium – extract,,Janet Cardiff installation recording,https://commons.wikimedia.org/wiki/File:Spem_in_alium.ogg,CC BY-SA 3.0,,,,,,Advanced polyphonic,TEX.TYPE,1,medium
CLIP-345313403B34,modules/texture-trainer/audio/TT117.mp3,,Thomas Tallis — Tallis's Canon,,Makemi recording,https://commons.wikimedia.org/wiki/File:Tallis_Canon.ogg,CC BY-SA 3.0 / GFDL,,,,,,Simple polyphonic,TEX.TYPE,1,medium
CLIP-347F6711471E,modules/meter-master/audio/MTR019.mp3,,,,,https://imslp.org/wiki/String_Quartet_in_D_major%2C_Hob.III%3A63_%28Haydn%2C_Joseph%29,,,,,,,Discrimination,RHY.METRE,2,high
CLIP-34C418A52540,modules/melody-master/audio/melodic-devices/MDA027.mp3,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",III. Menuetto,Musopen String Quartet,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Classical,Chamber music,,,,Melodic device,MEL.DEVICE,1,high
CLIP-34D1760E6ECF,audio/piano/C3.mp3 | audio/piano/C4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect octave,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,17,high
CLIP-35720CD161C2,audio/piano/As3.mp3 | audio/piano/F3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Perfect 4th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,10,high
CLIP-35DF42429447,modules/instrument-identifier/audio/II232.mp3,,Concerto for Oboe and Orch.,,,MusOpen,PD,,Concerto,Orchestral,OBOE,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
