clip_id,audio_path,composer,work,movement,performer,source,rights,period,genre,ensemble,instrument,family,clip_type,potential_skill_codes,question_count,metadata_confidence
CLIP-43BEEA988951,modules/instrument-identifier/audio/II153.mp3,von Weber,Clarinet Concerto Op. 73 (2),,,MusOpen,PD,,Concerto,Orchestral,CLARINET,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-4496388612F7,modules/instrument-identifier/audio/II217.mp3,Kuhlau,3 Fantasies Op. 38 No.1,,,MusOpen,PD,,,Solo,FLUTE,Woodwind,Solo,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-453FE3DB5970,modules/instrument-identifier/audio/II243.mp3,Telemann,Oboe Concerto TWV 51,,,MusOpen,PD,Baroque,Concerto,Orchestral,OBOE,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-45567A041FB9,modules/instrument-identifier/audio/II284.mp3,,Oboe Concerto HWV 302,,,MusOpen,PD,,Concerto,Orchestral,OBOE,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-45E4DA13B791,audio/piano/Fs3.mp3 | audio/piano/Fs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect unison,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,20,high
CLIP-460D4D6F8C73,modules/texture-trainer/audio/TT118.mp3,,"W. A. Mozart — Sonata for Two Pianos in D major, K. 448 – first movement",,Commons live recording,https://commons.wikimedia.org/wiki/File:Mozart_K448.ogg,CC BY-SA 3.0 / GFDL,,Sonata,,,,Simple polyphonic,TEX.TYPE,1,high
CLIP-4664C02F7F3E,modules/instrument-identifier/audio/II282.mp3,,Oboe Concerto HWV 302,,,MusOpen,PD,,Concerto,Orchestral,OBOE,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-4676386D9EB9,audio/piano/A3.mp3 | audio/piano/Cs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Minor 6th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,7,high
CLIP-47108A11ECD6,modules/texture-trainer/audio/TT050.mp3,,"L. van Beethoven — Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’ — I. Allegro con brio",,Musopen Symphony Orchestra,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,,Symphony,,,,Homophonic chordal texture,TEX.ROLE | TEX.TYPE,1,high
CLIP-476AD11F16E8,modules/instrument-identifier/audio/II063.mp3,Debussy,Cello Sonata (2) Serenade,,,MusOpen,PD,Twentieth century,Sonata,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-47B122EC23DC,modules/texture-trainer/audio/TT025.mp3,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 8 in D-sharp minor, BWV 853",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_16_Fugue_No._8_in_D-sharp_minor,_BWV_853.ogg",CC0 1.0,,Fugue,,,,Monophonic → fugal polyphony,TEX.TYPE,1,high
CLIP-47D7D98369F9,modules/instrument-identifier/audio/II115.mp3,Beethoven,Cello Sonata Op. 69 (2),,,MusOpen,PD,Classical/Romantic transition,Sonata,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-4854131DD101,audio/piano/D3.mp3 | audio/piano/C3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,14,high
CLIP-487EFDB64270,modules/instrument-identifier/audio/II140.mp3,Haydn,Trumpet Concerto HOB VIIe (3),,,MusOpen,PD,Classical,Concerto,Orchestral,TRUMPET,Brass,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-48E27688FE57,modules/instrument-identifier/audio/II223.mp3,CPE Bach,Flute Sonata H562 (1),,,MusOpen,PD,Baroque,Sonata,Solo,FLUTE,Woodwind,Solo,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-48F13861151B,modules/instrument-identifier/audio/II008.mp3,Bach,Partita No.2 BWV 1004 (5),,,MusOpen,PD,Baroque,,Solo,VIOLIN,Strings,Solo,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-4A359D3AA48D,modules/instrument-identifier/audio/II135.mp3,Haydn,Trumpet Concerto HOB VIIe (1),,,MusOpen,PD,Classical,Concerto,Orchestral,TRUMPET,Brass,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-4A4A80174AE2,modules/instrument-identifier/audio/II168.mp3,,Clarinet Concerto,,,MusOpen,PD,,Concerto,Organ Accomp.,CLARINET,Woodwind,Organ Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-4A5FAF4D271C,modules/instrument-identifier/audio/II180.mp3,Mozart,Clarinet Concerto K662,,,MusOpen,PD,Classical,Concerto,Orchestral,CLARINET,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-4AB38AFAE388,modules/texture-trainer/audio/TT037.mp3,,"G. F. Handel — Messiah, HWV 56 — 1. Sinfony",,MIT Concert Choir; directed by William C. Cutter,https://commons.wikimedia.org/wiki/File:Handel_-_messiah_-_01_sinfony.ogg,CC BY-SA 2.0,,,,,,Homophonic texture,TEX.ROLE | TEX.TYPE,1,medium
CLIP-4AC509496742,modules/instrument-identifier/audio/II103.mp3,Bach,Suite No. 4 (3),,,MusOpen,PD,Baroque,Suite,Solo,CELLO,Strings,Solo,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-4B14662FEA29,modules/melody-master/audio/melodic-devices/MDA024.mp3,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46",IV. In the Hall of the Mountain King,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Romantic,Suite,,,,Melodic device,MEL.DEVICE,1,high
CLIP-4B4FFFB4CD09,modules/meter-master/audio/MTR015.mp3,,,,,https://imslp.org/wiki/Peer_Gynt_Suite_No.1%2C_Op.46_%28Grieg%2C_Edvard%29,,,,,,,Aural classification,RHY.METRE | RHY.TIME_SIGNATURE,2,high
CLIP-4B7BD05024F8,audio/piano/D3.mp3 | audio/piano/Ds3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Minor 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,5,high
CLIP-4C4CF8BF6643,audio/piano/G3.mp3 | audio/piano/D4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect 5th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,18,high
CLIP-4C7F459EAC0D,audio/piano/E3.mp3 | audio/piano/Cs4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Major 6th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,7,high
CLIP-4CC36BBE4D41,audio/piano/A3.mp3 | audio/piano/E4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect 5th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,17,high
CLIP-4D8E159595EE,modules/instrument-identifier/audio/II236.mp3,,Concerto for Oboe and Orch.,,,MusOpen,PD,,Concerto,Orchestral,OBOE,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-4D99BCB14373,modules/texture-trainer/audio/TT098.mp3,,"Pyotr Ilyich Tchaikovsky — Symphony No. 6 in B minor, Op. 74 ‘Pathétique’ — III. Allegro molto vivace",,Musopen Symphony Orchestra,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,,Symphony,,,,Homophonic texture,TEX.ROLE | TEX.TYPE,1,high
CLIP-4DFFD26408F6,modules/instrument-identifier/audio/II265.mp3,,Chansonette,,,MusOpen,PD,,,Piano Accomp.,OBOE,Woodwind,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-4E49851F08A7,audio/piano/Cs3.mp3 | audio/piano/F3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Major 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,2,high
CLIP-4E9AE763AD2A,audio/piano/C4.mp3 | audio/piano/Fs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Diminished 5th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,2,high
CLIP-4EE3AA2514D4,modules/instrument-identifier/audio/II225.mp3,CPE Bach,Flute Sonata H562 (1),,,MusOpen,PD,Baroque,Sonata,Solo,FLUTE,Woodwind,Solo,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-4F5E8F8A74FE,modules/instrument-identifier/audio/II238.mp3,,Concerto for Oboe and Orch.,,,MusOpen,PD,,Concerto,Orchestral,OBOE,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-4FBBB1E3EC4C,modules/instrument-identifier/audio/II166.mp3,,Clarinet Concerto,,,MusOpen,PD,,Concerto,Organ Accomp.,CLARINET,Woodwind,Organ Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-504F90757D50,modules/instrument-identifier/audio/II071.mp3,Vivaldi,Sonata No. 5 (3),,,MusOpen,PD,Baroque,Sonata,Harpsichord,CELLO,Strings,Harpsichord,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-50D7D774C9E3,modules/instrument-identifier/audio/II239.mp3,,Concerto for Oboe and Orch.,,,MusOpen,PD,,Concerto,Orchestral,OBOE,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-51070B8928DB,modules/melody-master/audio/melodic-devices/MDA038.mp3,Pyotr Ilyich Tchaikovsky,"Symphony No. 6 in B minor, Op. 74 ‘Pathétique’",III. Allegro molto vivace,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Romantic,Symphony,,,,Melodic device,MEL.DEVICE,1,high
CLIP-5188F36C5EA1,audio/piano/E3.mp3 | audio/piano/D4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Minor 7th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,14,high
CLIP-51B6C75DC2BD,modules/texture-trainer/audio/TT057.mp3,,"Johannes Brahms — Symphony No. 4 in E minor, Op. 98 — IV. Allegro energico e passionato",,Musopen Symphony Orchestra,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,,Symphony,,,,Homophonic texture,TEX.ROLE | TEX.TYPE,1,high
CLIP-51F4EA1BE573,audio/piano/B3.mp3 | audio/piano/G3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,9,high
CLIP-51FFEE4585B5,audio/piano/Ds4.mp3 | audio/piano/Ds3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Perfect octave,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,9,high
CLIP-5209AD0016B3,modules/instrument-identifier/audio/II090.mp3,Beethoven,Cello Sonata Op. 69 (3),,,MusOpen,PD,Classical/Romantic transition,Sonata,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-53063E1776A2,audio/piano/E4.mp3 | audio/piano/Gs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Minor 6th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,4,high
CLIP-5335CB74B95E,modules/instrument-identifier/audio/II250.mp3,,Oboe Concerto F minor,,,MusOpen,PD,,Concerto,Orchestral,OBOE,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-537A2D5CF5E5,modules/texture-trainer/audio/TT122.mp3,,Balinese traditional — Gendér Wayang,,Historic 1928 gamelan recording,https://commons.wikimedia.org/wiki/File:Gend%C3%A9r_Wayang_(1928).ogg,Public domain,,,,,,Heterophonic,TEX.TYPE,1,medium
CLIP-53D206882ACF,audio/piano/Cs4.mp3 | audio/piano/G3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Augmented 4th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,3,high
CLIP-5463C2CAB12A,audio/piano/D3.mp3 | audio/piano/Fs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Major 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,8,high
CLIP-54AE2272D186,audio/piano/Fs3.mp3 | audio/piano/D4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Minor 6th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,8,high
CLIP-54CA39D22D73,modules/texture-trainer/audio/TT091.mp3,,"W. A. Mozart — Symphony No. 40 in G minor, K.550 — I. Molto allegro",,Musopen Symphony Orchestra,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,,Symphony,,,,Homophonic texture,TEX.ROLE | TEX.TYPE,1,high
CLIP-550AFF24F04A,audio/piano/A3.mp3 | audio/piano/D3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Perfect 5th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,17,high
CLIP-557B6C58C628,modules/meter-master/audio/MTR024.mp3,,,,,https://imslp.org/wiki/Symphony_No.4%2C_Op.90_%28Mendelssohn%2C_Felix%29,,,,,,,Notation vocabulary,RHY.METRE,2,high
CLIP-55D4282CCD22,modules/instrument-identifier/audio/II228.mp3,,2 Siciliano Rondeau Arr.,,,MusOpen,PD,,,Solo,TRUMPET,Brass,Solo,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-56C93B48E3B9,modules/instrument-identifier/audio/II019.mp3,Beethoven,Violin Sonata No. 5 Spring (1),,,MusOpen,PD,Classical/Romantic transition,Sonata,Piano Accomp.,VIOLIN,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-56E94FD0FE5C,modules/instrument-identifier/audio/II091.mp3,Beethoven,Cello Sonata Op. 69 (3),,,MusOpen,PD,Classical/Romantic transition,Sonata,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-576391C6A154,modules/instrument-identifier/audio/II105.mp3,Bach,Suite No. 4 (Bouree),,,MusOpen,PD,Baroque,Suite,Solo,ACOUSTIC GUITAR,Strings,Solo,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-577311A94ECC,audio/piano/Gs3.mp3 | audio/piano/Ds3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Perfect 4th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,6,high
CLIP-57A148C6D30C,audio/piano/B3.mp3 | audio/piano/A3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,13,high
CLIP-57C047F8D75D,modules/instrument-identifier/audio/II124.mp3,Bottesini,Double Bass Concerto No. 2 (2),,,MusOpen,PD,,Concerto,Orchestral,DOUBLE BASS,Strings,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-57D39FB99ACA,audio/piano/C3.mp3 | audio/piano/G3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect 5th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,17,high
CLIP-57DC7A06B8BF,modules/texture-trainer/audio/TT114.mp3,,Felix Mendelssohn — Songs Without Words – Duet,,Commons recording,https://commons.wikimedia.org/wiki/File:Mendelssohn_-_Songs_Without_Words_Duet.ogg,CC BY-SA 4.0,,Song,,,,Simple polyphonic,TEX.TYPE,1,high
CLIP-5845A044CD66,modules/instrument-identifier/audio/II194.mp3,Bach,Flute Sonata BWV 1034,,,MusOpen,PD,Baroque,Sonata,Harpsichord,RECORDER,Woodwind,Harpsichord,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-584B1A4734BA,audio/piano/F3.mp3 | audio/piano/D4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Major 6th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,11,high
CLIP-589AB5F213BA,audio/piano/Ds4.mp3 | audio/piano/Cs4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,4,high
CLIP-58B3F86A4B02,modules/melody-master/audio/melodic-devices/MDA034.mp3,W. A. Mozart,"Symphony No. 40 in G minor, K.550",II. Andante,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Classical,Symphony,,,,Melodic device,MEL.DEVICE,1,high
CLIP-58ED23C72C9D,audio/piano/D4.mp3 | audio/piano/C4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,14,high
CLIP-5990621FA476,audio/piano/E4.mp3 | audio/piano/Ds4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Minor 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,2,high
CLIP-59AF0A59579B,modules/texture-trainer/audio/TT008.mp3,,"J. S. Bach — Partita in A minor for solo flute, BWV 1013",,Scott Goff,https://commons.wikimedia.org/wiki/File:Jsbach_BWV_1013.ogg,CC BY-SA 2.0,,,,,,Monophonic,TEX.TYPE,1,medium
CLIP-59D1BDB2A7EF,modules/instrument-identifier/audio/II077.mp3,Chopin,Cello Sonata Op.65 (1),,,MusOpen,PD,Romantic,Sonata,Orchestral,CELLO,Strings,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-5A8CE86E4B4B,modules/instrument-identifier/audio/II051.mp3,Elgar,Cello Concerto Op. 85,,,MusOpen,PD,,Concerto,Orchestral,CELLO,Strings,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-5AC8B1302957,audio/piano/B3.mp3 | audio/piano/Cs4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,7,high
CLIP-5ACEF58F7A67,audio/piano/D4.mp3 | audio/piano/D4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect unison,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,38,high
CLIP-5BC88E82E4CA,modules/texture-trainer/audio/TT030.mp3,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 13 in F-sharp major, BWV 858",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_26_Fugue_No._13_in_F-sharp_major,_BWV_858.ogg",CC0 1.0,,Fugue,,,,Fugal imitation,TEX.TYPE,1,high
CLIP-5C1C2CDB445E,audio/piano/A3.mp3 | audio/piano/Gs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Minor 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,4,high
CLIP-5C68D32AC90A,audio/piano/Cs3.mp3 | audio/piano/Cs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect unison,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,18,high
CLIP-5C8A87DCD272,modules/texture-trainer/audio/TT085.mp3,,"Felix Mendelssohn — Symphony No. 4 in A major, Op. 90 ‘Italian’ — I. Allegro vivace",,Musopen Symphony Orchestra,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,,Symphony,,,,Homophonic chordal texture,TEX.TYPE,1,high
CLIP-5CE164B6E2E2,modules/melody-master/audio/melodic-devices/MDA032.mp3,Felix Mendelssohn,"Symphony No. 4 in A major, Op. 90 ‘Italian’",IV. Saltarello: Presto,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Romantic,Symphony,,,,Melodic device,MEL.DEVICE,1,high
CLIP-5D06541EE76D,modules/instrument-identifier/audio/II132.mp3,Haydn,Trumpet Concerto HOB VIIe (1),,,MusOpen,PD,Classical,Concerto,Orchestral,TRUMPET,Brass,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-5DBEAC8A2C84,modules/instrument-identifier/audio/II174.mp3,von Weber,Clarinet Concerto Op. 26,,,MusOpen,PD,,Concerto,Orchestral,CLARINET,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-5E3697E97AF9,modules/instrument-identifier/audio/II133.mp3,Haydn,Trumpet Concerto HOB VIIe (1),,,MusOpen,PD,Classical,Concerto,Orchestral,TRUMPET,Brass,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-5E8544720EB7,modules/instrument-identifier/audio/II012.mp3,Beethoven,Violin Sonata No. 5 (1),,,MusOpen,PD,Classical/Romantic transition,Sonata,Piano Accomp.,VIOLIN,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-5E87D453DCBB,audio/piano/Fs3.mp3 | audio/piano/D3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,8,high
CLIP-5EE666745614,modules/instrument-identifier/audio/II255.mp3,,Oboe Sonata FAWB,,,MusOpen,PD,,Sonata,Organ Accomp.,TRUMPET,BRASS,Organ Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-5F1879348783,modules/instrument-identifier/audio/II213.mp3,Kuhlau,3 Fantasies Op. 38 No.1,,,MusOpen,PD,,,Solo,FLUTE,Woodwind,Solo,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-5FBFC520757E,modules/texture-trainer/audio/TT073.mp3,,"Edvard Grieg — Peer Gynt Suite No. 1, Op. 46 — II. The Death of Åse",,Musopen Symphony Orchestra,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,,Suite,,,,Homophonic texture,TEX.ROLE | TEX.TYPE,1,high
CLIP-6064A5FB19CA,audio/piano/Gs3.mp3 | audio/piano/Gs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect unison,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,16,high
CLIP-60BB46F776B2,modules/instrument-identifier/audio/II224.mp3,CPE Bach,Flute Sonata H562 (1),,,MusOpen,PD,Baroque,Sonata,Solo,FLUTE,Woodwind,Solo,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-60E0224E0AA3,modules/instrument-identifier/audio/II273.mp3,,La Gracieuse (1) Prelude,,,MusOpen,PD,,Prelude,Harpsichord,OBOE,Woodwind,Harpsichord,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-61DFFBA55ACC,audio/piano/Ds3.mp3 | audio/piano/Cs4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Minor 7th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,4,high
CLIP-61EDD8F2F201,modules/instrument-identifier/audio/II274.mp3,,La Gracieuse (6) Minuet,,,MusOpen,PD,,Dance,Harpsichord,OBOE,Woodwind,Harpsichord,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-62148D3D4575,modules/melody-master/audio/melodic-devices/MDA012.mp3,L. van Beethoven,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",IV. Finale,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Classical/Romantic transition,Symphony,,,,Melodic device,MEL.DEVICE,1,high
CLIP-6235CE40C9F8,audio/piano/Cs4.mp3 | audio/piano/Ds4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,4,high
CLIP-624C40CE7B6E,audio/piano/C4.mp3 | audio/piano/D4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,15,high
CLIP-6256AC151E95,audio/piano/Gs3.mp3 | audio/piano/F3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Minor 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,4,high
CLIP-62BACE7D6718,modules/meter-master/audio/MTR029.mp3,,,,,https://imslp.org/wiki/Symphony_No.6%2C_Op.74_%28Tchaikovsky%2C_Pyotr%29,,,,,,,Irregular metre,RHY.METRE,2,high
CLIP-62C75ECD829C,modules/instrument-identifier/audio/II197.mp3,Bach,Flute Sonata BWV 1034,,,MusOpen,PD,Baroque,Sonata,Harpsichord,RECORDER,Woodwind,Harpsichord,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-63216FED56DD,modules/melody-master/audio/melodic-devices/MDA019.mp3,Antonín Dvořák,"String Quartet No. 12 in F major, Op. 96 ‘American’",III. Molto vivace,Musopen String Quartet,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,,Chamber music,,,,Melodic device,MEL.DEVICE,1,medium
