clip_id,pack_name,title_work,composer_creator,performer,source,source_url_or_path,licence,attribution_required,attribution_text,commercial_reuse,notes,teaching_tag,local_audio_file,local_score_file,download_status,duration_sec,start_offset_sec
ENS026,Ensemble Spotter 50,String Quartet Op.80 – I,Felix Mendelssohn,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mendelssohn_StringQuartetNo.6inFMinorOp.80/FelixMendelssohn-StringQuartetNo.6InFMinorOp.80-01-AllegroVivaceAssai.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS026.mp3,,ok,14,60
ENS027,Ensemble Spotter 50,Symphony No.40 K.550 – I,W.A. Mozart,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mozart_SymphonyNo.40inGMinor/WolfgangAmadeusMozart-SymphonyNo.40InGMinorK.550-01-MoltoAllegro.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS027.mp3,,ok,14,50
ENS028,Ensemble Spotter 50,Symphony No.3 Op.90 – III,Johannes Brahms,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Brahms_SymphonyNo.3inFMajor/JohannesBrahms-SymphonyNo.3InFMajorOp.90-03-PocoAllegretto.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS028.mp3,,ok,14,65
ENS029,Ensemble Spotter 50,Symphony No.4 'Italian' – I,Felix Mendelssohn,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mendelssohn_ItalianSymphony/FelixMendelssohn-SymphonyNo.4InAMajorOp.90italian-01-AllegroVivace.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS029.mp3,,ok,14,55
ENS030,Ensemble Spotter 50,Má vlast – Vltava,Bedřich Smetana,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Smetana_Vltava/BedichSmetana-MVlast-Vltava.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS030.mp3,,ok,14,90
ENS031,Ensemble Spotter 50,Sonata for Bassoon & Cello K.292 (arr.),W.A. Mozart,Romero / RF library,local RF library,"/Users/james/Desktop/EchoAudio Resources/Royalty Free Library/Sonata for Bassoon and Cello in B-flat major, K.292_196c (For Cello and Double Bass - Romero).mp3",Public Domain / Royalty-Free (local RF library),no,,yes,,duo,audio/ENS031.mp3,,ok,14,70
ENS032,Ensemble Spotter 50,Divertimento in D Hob.X:2,Joseph Haydn,RF library,local RF library,"/Users/james/Desktop/EchoAudio Resources/Royalty Free Library/Divertimento in D major, Hob.X_2.mp3",Public Domain / Royalty-Free (local RF library),no,,yes,,chamber_ensemble,audio/ENS032.mp3,,ok,14,80
ENS033,Ensemble Spotter 50,Divertimento in G Hob.X:5,Joseph Haydn,RF library,local RF library,"/Users/james/Desktop/EchoAudio Resources/Royalty Free Library/Divertimento in G major, Hob.X_5.mp3",Public Domain / Royalty-Free (local RF library),no,,yes,,chamber_ensemble,audio/ENS033.mp3,,ok,14,90
ENS034,Ensemble Spotter 50,Divertimento in A Hob.X:3,Joseph Haydn,RF library,local RF library,"/Users/james/Desktop/EchoAudio Resources/Royalty Free Library/Divertimento in A major, Hob.X_3.mp3",Public Domain / Royalty-Free (local RF library),no,,yes,,chamber_ensemble,audio/ENS034.mp3,,ok,14,85
ENS035,Ensemble Spotter 50,Trio Sonata in D minor BWV 1036,J.S. Bach (attrib.),RF library,local RF library,"/Users/james/Desktop/EchoAudio Resources/Royalty Free Library/Trio Sonata in d minor, BWV 1036.mp3",Public Domain / Royalty-Free (local RF library),no,,yes,,trio_sonata,audio/ENS035.mp3,,ok,14,70
ENS036,Ensemble Spotter 50,The Magic Flute – Overture,W.A. Mozart,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mozart_MagicFluteOverture/WolfgangAmadeusMozart-MagicFluteOverture.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS036.mp3,,ok,14,60
ENS037,Ensemble Spotter 50,Egmont Overture Op.84,Ludwig van Beethoven,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Beethoven_EgmontOvertureOp.84/LudwigVanBeethoven-EgmontOvertureOp.84.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS037.mp3,,ok,14,80
ENS038,Ensemble Spotter 50,Gamelan Gong ensemble,Traditional,Unknown (Internet Archive item GamelanGong),Internet Archive,https://archive.org/download/GamelanGong/Gamelan%20gong.mp3,Licence not stated on IA item — verify before commercial use,yes,Internet Archive item GamelanGong,verify,IA item lacks explicit licenseurl; recorded in RIGHTS.csv,gamelan_ensemble,audio/ENS038.mp3,,ok,14,90
ENS039,Ensemble Spotter 50,Brooklyn Maqam / Mohamed Bechar (maqam ensemble colour),Traditional / Mohamed Bechar repertoire,Brooklyn Arts Council / Folk Feet recording,Internet Archive,https://archive.org/download/folka-253-01/FOLKA253_01.mp3,Public Domain Mark 1.0,yes,Brooklyn Arts Council — Folk Feet/Brooklyn Maqam (IA folka-253-01),yes,Middle-Eastern maqam ensemble colour for takht-like spotting,maqam_ensemble,audio/ENS039.mp3,,ok,14,90
ENS040,Ensemble Spotter 50,Maple Leaf Rag,Scott Joplin,Historical recording (IA CC0 item),Internet Archive,https://archive.org/download/JV-483-1923-QmXZHwCGjeNSGmVTpYxDGuwXUzWn4H5uR4yCKSL4bkV8F7.mp3/JV-483-1923-QmXZHwCGjeNSGmVTpYxDGuwXUzWn4H5uR4yCKSL4bkV8F7.mp3,CC0 1.0,no,Scott Joplin Maple Leaf Rag — Internet Archive CC0 item,yes,Ragtime/jazz-style ensemble colour (solo piano recording),ragtime_jazz,audio/ENS040.mp3,,ok,14,40
ENS041,Ensemble Spotter 50,String Quartet Op.64 No.5 'Lark' – I,Joseph Haydn,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Haydn_StringQuartetInDMajorOp.64/JosephHaydn-StringQuartetInDOp.645H363Lark-01-AllegroModerato.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS041.mp3,,ok,14,15
ENS042,Ensemble Spotter 50,String Quartet K.465 'Dissonance' – I,W.A. Mozart,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mozart_StringQuartetNo.19inCMajorK465/WolfgangAmadeusMozart-StringQuartetNo.19InCK465Dissonance-01-AdagioAllegro.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS042.mp3,,ok,14,20
ENS043,Ensemble Spotter 50,String Quartet Op.18 No.6 – I,Ludwig van Beethoven,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Beethoven_StringQuartetNo.6inBFlatMajorOp.18/LudwigVanBeethoven-StringQuartetNo.6InBFlatMajorOp.18No.6-01-AllegroConBrio.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS043.mp3,,ok,14,15
ENS044,Ensemble Spotter 50,String Quartet No.2 – III Nocturne,Alexander Borodin,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Borodin_StringQuartetNo.2inDMajor/AlexanderBorodin-StringQuartetNo.2InDMajor-03-NocturneAndante.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS044.mp3,,ok,14,10
ENS045,Ensemble Spotter 50,String Quartet Op.96 'American' – I,Antonín Dvořák,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Dvorak_StringQuartetNo.12inFMajorOp.96/AntonnDvorak-StringQuartetNo.12InFMajorOp.96American-01-AllegroMaNonTroppo.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS045.mp3,,ok,14,15
ENS046,Ensemble Spotter 50,String Quartet Op.80 – I,Felix Mendelssohn,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mendelssohn_StringQuartetNo.6inFMinorOp.80/FelixMendelssohn-StringQuartetNo.6InFMinorOp.80-01-AllegroVivaceAssai.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS046.mp3,,ok,14,12
ENS047,Ensemble Spotter 50,Symphony No.40 K.550 – I,W.A. Mozart,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mozart_SymphonyNo.40inGMinor/WolfgangAmadeusMozart-SymphonyNo.40InGMinorK.550-01-MoltoAllegro.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS047.mp3,,ok,14,10
ENS048,Ensemble Spotter 50,Symphony No.3 Op.90 – III,Johannes Brahms,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Brahms_SymphonyNo.3inFMajor/JohannesBrahms-SymphonyNo.3InFMajorOp.90-03-PocoAllegretto.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS048.mp3,,ok,14,15
ENS049,Ensemble Spotter 50,Symphony No.4 'Italian' – I,Felix Mendelssohn,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mendelssohn_ItalianSymphony/FelixMendelssohn-SymphonyNo.4InAMajorOp.90italian-01-AllegroVivace.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS049.mp3,,ok,14,12
ENS050,Ensemble Spotter 50,Má vlast – Vltava,Bedřich Smetana,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Smetana_Vltava/BedichSmetana-MVlast-Vltava.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS050.mp3,,ok,14,20
ENS062,EchoAural Ensemble Origins (Aug 2026),Rag Bhimpalasi,Traditional (Raga Bhimpalasi),NCERT (India) educational ensemble,Wikimedia Commons (NCERT Official),https://commons.wikimedia.org/wiki/File:Rag_Bhimpalasi_-_NCERT.ogg,CC BY 3.0,yes,"NCERT, via Wikimedia Commons, CC BY 3.0",yes,Educational raga demonstration; clip trimmed to the Gat/Gayan section starting 4:03 into the source recording.,hindustani_raga_origin,audio/ENS062.mp3,,ok,12,243
ENS063,EchoAural Ensemble Origins (Aug 2026),Rag Khamaj,Traditional (Raga Khamaj),NCERT (India) educational ensemble,Wikimedia Commons (NCERT Official),https://commons.wikimedia.org/wiki/File:Rag_Khamaj_-_NCERT.ogg,CC BY 3.0,yes,"NCERT, via Wikimedia Commons, CC BY 3.0",yes,Educational raga demonstration; clip trimmed to the section starting 5:03 into the source recording.,hindustani_raga_origin,audio/ENS063.mp3,,ok,12,303
ENS064,EchoAural Ensemble Origins (Aug 2026),Rag Malkauns,Traditional (Raga Malkauns),NCERT (India) educational ensemble,Wikimedia Commons (NCERT Official),https://commons.wikimedia.org/wiki/File:Rag_Malkauns_-_NCERT.ogg,CC BY 3.0,yes,"NCERT, via Wikimedia Commons, CC BY 3.0",yes,Educational raga demonstration; clip trimmed to the section starting 6:23 into the source recording.,hindustani_raga_origin,audio/ENS064.mp3,,ok,12,383
